,stock,name,pe_ratio,earnings_yield
0,AXP,American Express,25.31,
1,BAC,Bank of America Corp,17.94,
2,BK,The Bank of New York Mellon,13.78,
3,COF,Capital One Financial,10.26,
4,SCHW,Charles Schwab Corporation,31.16,
5,C,Citigroup Inc.,9.91,
6,CFG,Citizens Financial Group,13.86,
7,CMA,Comerica Inc.,12.68,
8,DFS,Discover Financial Services,12.92,
9,FITB,Fifth Third Bancorp,15.43,
10,FRC,First Republic Bank,32.29,
11,GS,Goldman Sachs Group,8.93,
12,HBAN,Huntington Bancshares,13.53,
13,JNJ,Johnson & Johnson,,
14,JPM,JPMorgan Chase & Co.,12.82,
15,KEY,KeyCorp,13.08,
16,MTB,M&T Bank,14.51,
17,MS,Morgan Stanley,11.15,
18,NVDA,Nvidia Corporation,,
19,NTRS,Northern Trust Corp.,21.26,
20,PBCT,People's United Financial,13.89,
21,PNC,PNC Financial Services,10.23,
22,PFG,Principal Financial Group,11.09,
23,RJF,Raymond James Financial,17.65,
24,RF,Regions Financial Corp.,14.93,
25,STT,State Street Corp.,14.11,
26,SIVB,SVB Financial,18.39,
27,SYF,Synchrony Financial,12.75,
28,TFC,Truist Financial,18.15,
29,USB,U.S. Bancorp,16.07,
30,WFC,Wells Fargo,32.0,
31,ZION,Zions Bancorp,12.04,
32,BIO,Bio-Rad Laboratories,,31.26
33,CINF,Cincinnati Financial,,20.21
34,BRK.B,Berkshire Hathaway,,19.14
35,ALL,Allstate Corp,,19.09
36,HOLX,Hologic,,13.87
37,AFL,Aflac,,12.96
38,UNM,Unum Group,,12.89
39,FOX,Fox Corporation (Class B),,12.88
40,FOXA,Fox Corporation (Class A),,12.75
41,DGX,Quest Diagnostics,,12.66
42,NWSA,News Corp (Class A),,12.61
43,NWS,News Corp (Class B),,12.6
44,PGR,Progressive Corp.,,12.38
45,PHM,PulteGroup,,12.02
46,VIAC,ViacomCBS,,11.87
47,LH,Laboratory Corp. of America Holding,,11.78
48,CE,Celanese,,11.31
49,DHI,D. R. Horton,,10.89
50,PRU,Prudential Financial,,10.75
51,CI,Cigna,,10.66
52,LEN,Lennar Corp.,,10.4
53,WU,Western Union Co,,10.24
54,WHR,Whirlpool Corp.,,10.13
55,INTC,Intel Corp.,,9.97
56,CNC,Centene Corporation,,9.46
57,EBAY,eBay Inc.,,9.24
58,DISH,Dish Network,,9.23
59,WLTW,Willis Towers Watson,,9.12
60,RE,Everest Re Group Ltd.,,9.01
61,NOC,Northrop Grumman,,8.99
62,HPQ,HP Inc.,,8.94
63,HII,Huntington Ingalls Industries,,8.76
64,KIM,Kimco Realty,,8.68
65,KR,Kroger Co.,,8.62
66,BBY,Best Buy Co. Inc.,,8.6
67,F,Ford Motor Company,,8.56
68,BEN,Franklin Resources,,8.55
69,BIIB,Biogen Inc.,,8.54
70,UHS,Universal Health Services,,8.5
71,HUM,Humana Inc.,,8.34
72,HIG,Hartford Financial Svc.Gp.,,8.33
73,REGN,Regeneron Pharmaceuticals,,8.22
74,OMC,Omnicom Group,,8.21
75,TRV,The Travelers Companies,,8.21
76,TSN,Tyson Foods,,8.06
77,PKI,PerkinElmer,,7.98
78,HCA,HCA Healthcare,,7.91
79,GL,Globe Life Inc.,,7.88
80,LMT,Lockheed Martin Corp.,,7.69
81,CB,Chubb Limited,,7.68
82,NVR,"NVR, Inc.",,7.64
83,MAS,Masco Corp.,,7.63
84,GM,General Motors,,7.6
85,SJM,JM Smucker,,7.55
86,WRB,W. R. Berkley Corporation,,7.52
87,CARR,Carrier Global,,7.49
88,AZO,AutoZone Inc,,7.39
89,TROW,T. Rowe Price Group,,7.3
90,MO,Altria Group Inc,,7.21
91,VZ,Verizon Communications,,7.18
92,GIS,General Mills,,7.04
93,AIZ,Assurant,,6.94
94,CVS,CVS Health,,6.92
95,DISCA,"Discovery, Inc. (Series A)",,6.92
96,DISCK,"Discovery, Inc. (Series C)",,6.89
97,CAG,Conagra Brands,,6.87
98,PM,Philip Morris International,,6.86
99,SEE,Sealed Air,,6.8
100,BWA,BorgWarner,,6.78
101,FTV,Fortive Corp,,6.75
102,VRTX,Vertex Pharmaceuticals Inc,,6.75
103,SNA,Snap-on,,6.74
104,EVRG,Evergy,,6.66
105,NUE,Nucor Corp.,,6.5
106,CPB,Campbell Soup,,6.49
107,DVA,DaVita Inc.,,6.47
108,WY,Weyerhaeuser,,6.47
109,PEG,Public Service Enterprise Group (PSEG),,6.46
110,QCOM,Qualcomm,,6.45
111,ANTM,Anthem,,6.42
112,LB,L Brands Inc.,,6.4
113,PPL,PPL Corp.,,6.4
114,CSCO,Cisco Systems,,6.39
115,IVZ,Invesco Ltd.,,6.37
116,GD,General Dynamics,,6.36
117,CMI,Cummins Inc.,,6.35
118,EXPD,Expeditors,,6.25
119,LKQ,LKQ Corporation,,6.24
120,CAH,Cardinal Health Inc.,,6.17
121,CTSH,Cognizant Technology Solutions,,6.13
122,ORLY,O'Reilly Automotive,,6.1
123,K,Kellogg Co.,,6.05
124,FE,FirstEnergy Corp,,6.04
125,OKE,Oneok,,6.04
126,BLK,BlackRock,,5.99
127,KMI,Kinder Morgan,,5.98
128,NEM,Newmont Corporation,,5.98
129,ROK,Rockwell Automation Inc.,,5.91
130,TGT,Target Corp.,,5.9
131,UNH,UnitedHealth Group Inc.,,5.87
132,FCX,Freeport-McMoRan Inc.,,5.85
133,NLOK,NortonLifeLock,,5.8
134,MMM,3M Company,,5.79
135,DG,Dollar General,,5.78
136,DOW,Dow Inc.,,5.76
137,ORCL,Oracle Corp.,,5.76
138,KMB,Kimberly-Clark,,5.68
139,CMCSA,Comcast Corp.,,5.61
140,LDOS,Leidos Holdings,,5.58
141,DLTR,Dollar Tree,,5.56
142,LYB,LyondellBasell,,5.52
143,AMGN,Amgen Inc.,,5.48
144,ADM,Archer-Daniels-Midland Co,,5.48
145,URI,"United Rentals, Inc.",,5.43
146,MOS,The Mosaic Company,,5.41
147,SWKS,Skyworks Solutions,,5.38
148,CHRW,C. H. Robinson Worldwide,,5.37
149,ETR,Entergy Corp.,,5.37
150,PNW,Pinnacle West Capital,,5.35
151,NTAP,NetApp,,5.31
152,STZ,Constellation Brands,,5.25
153,LOW,Lowe's Cos.,,5.2
154,WMT,Walmart,,5.19
155,FBHS,Fortune Brands Home & Security,,5.17
156,CBOE,Cboe Global Markets,,5.16
157,TER,Teradyne,,5.13
158,STX,Seagate Technology,,5.09
159,CLX,The Clorox Company,,5.06
160,LNC,Lincoln National,,5.05
161,PG,Procter & Gamble,,5.04
162,AMCR,Amcor plc,,5.03
163,TMO,Thermo Fisher Scientific,,5.03
164,WMB,Williams Companies,,5.03
165,NWL,Newell Brands,,5.02
166,CL,Colgate-Palmolive,,5.0
167,NRG,NRG Energy,,4.99
168,COG,Cabot Oil & Gas,,4.96
169,DTE,DTE Energy Co.,,4.94
170,SWK,Stanley Black & Decker,,4.87
171,IP,International Paper,,4.85
172,LEG,Leggett & Platt,,4.83
173,LRCX,Lam Research,,4.81
174,MHK,Mohawk Industries,,4.81
175,OTIS,Otis Worldwide,,4.78
176,ATO,Atmos Energy,,4.77
177,CSX,CSX Corp.,,4.77
178,HD,Home Depot,,4.77
179,KLAC,KLA Corporation,,4.76
180,FB,"Facebook, Inc.",,4.71
181,GWW,Grainger (W.W.) Inc.,,4.71
182,PH,Parker-Hannifin,,4.71
183,AOS,A.O. Smith Corp,,4.68
